customer_key,customer_id,customer_number,first_name,last_name,country,marital_status,gender,birthdate,create_date
66,10066,CUS-010066,Russell,Long,United Kingdom,M,M,1969-02-19,2010-04-16
67,10067,CUS-010067,Aaron,Long,Australia,M,M,1987-12-27,2017-01-13
68,10068,CUS-010068,Danielle,Brooks,United Kingdom,,F,2000-01-12,2015-12-23
69,10069,CUS-010069,Joe,Baker,United States,S,M,1981-02-14,2014-01-23
70,10070,CUS-010070,Christina,Thompson,UAE,,F,1967-10-26,2016-01-14
71,10071,CUS-010071,Jonathan,Adams,Japan,M,M,1967-08-08,2018-06-01
72,10072,CUS-010072,Frank,Brown,South Korea,S,M,1961-08-07,2013-12-24
73,10073,CUS-010073,Elijah,Scott,United States,,M,1962-02-08,2018-01-28
74,10074,CUS-010074,Brittany,Rogers,South Korea,S,F,2000-01-03,2013-04-20
75,10075,CUS-010075,Denise,Richardson,Switzerland,S,F,1985-09-12,2014-10-09
76,10076,CUS-010076,Diana,Murphy,Brazil,S,F,1966-04-04,2018-02-02
77,10077,CUS-010077,Mason,Sanders,Canada,M,M,1963-12-16,2013-02-06
78,10078,CUS-010078,Jesse,Torres,United Kingdom,M,M,1968-04-12,2012-01-05
79,10079,CUS-010079,Brenda,Garcia,United States,,F,1968-12-05,2017-02-25
80,10080,CUS-010080,Arthur,Torres,New Zealand,S,M,1978-06-06,2010-07-30
81,10081,CUS-010081,Thomas,Phillips,South Korea,M,M,1986-11-22,2010-08-08
82,10082,CUS-010082,Lisa,Young,United Kingdom,,F,1998-07-20,2016-09-07
83,10083,CUS-010083,Jerry,Morris,Poland,S,M,1987-07-10,2016-05-18
84,10084,CUS-010084,Mason,Clark,Australia,S,M,1992-02-06,2012-09-09
85,10085,CUS-010085,Henry,Morris,New Zealand,S,M,1952-04-10,2017-12-05
86,10086,CUS-010086,Juan,Robinson,Mexico,,M,1987-11-26,2012-03-21
87,10087,CUS-010087,Anna,Jackson,Germany,M,F,1960-05-20,2018-05-26
88,10088,CUS-010088,Steven,Cook,Italy,,M,1975-05-17,2016-01-21
89,10089,CUS-010089,Harry,Jimenez,Spain,,M,1966-01-03,2012-07-26
90,10090,CUS-010090,Dylan,Williams,Brazil,,M,1952-03-16,2015-10-27
91,10091,CUS-010091,Doris,Edwards,South Korea,M,F,1980-06-14,2013-09-27
92,10092,CUS-010092,Christine,Evans,South Korea,S,F,1992-07-27,2018-07-13
93,10093,CUS-010093,Angela,Adams,United Kingdom,S,F,1982-01-22,2019-10-01
94,10094,CUS-010094,Hannah,Campbell,South Korea,,F,1978-01-07,2012-12-29
95,10095,CUS-010095,Elijah,Ortiz,United Kingdom,M,M,1990-10-26,2012-09-07
96,10096,CUS-010096,Sean,Evans,Germany,M,M,1957-08-04,2017-04-07
97,10097,CUS-010097,Andrea,Myers,Brazil,S,F,1980-08-08,2015-02-14
98,10098,CUS-010098,Keith,Powell,United Kingdom,M,M,1967-07-11,2018-11-01
99,10099,CUS-010099,Jane,Hill,South Korea,M,F,1978-09-16,2013-11-14
100,10100,CUS-010100,Peter,Adams,Australia,,M,1965-10-13,2012-08-14
101,10101,CUS-010101,Tiffany,Rogers,Norway,S,F,1992-11-05,2015-07-22
102,10102,CUS-010102,Gregory,Gonzalez,Poland,M,M,1983-08-01,2018-02-07
103,10103,CUS-010103,Karen,Rogers,Mexico,S,F,1989-12-13,2017-04-15
104,10104,CUS-010104,Jerry,Green,South Korea,,M,1952-10-03,2012-08-19
105,10105,CUS-010105,Tiffany,Lopez,Austria,M,F,1998-11-23,2019-10-15
106,10106,CUS-010106,Linda,Garcia,Spain,M,F,1968-06-12,2014-10-31
107,10107,CUS-010107,Juan,White,Canada,M,M,1955-10-28,2014-04-16
108,10108,CUS-010108,Kenneth,Robinson,,,M,1966-08-09,2017-06-24
109,10109,CUS-010109,Amber,Howard,Canada,M,F,1978-06-19,2013-05-10
110,10110,CUS-010110,Lauren,Hill,Australia,S,F,1980-02-08,2014-04-12
111,10111,CUS-010111,Jennifer,Hughes,Denmark,S,F,1950-10-28,2017-09-10
112,10112,CUS-010112,Russell,Morgan,India,M,M,1988-06-08,2017-02-20
113,10113,CUS-010113,Grace,Gonzalez,United States,S,F,2000-08-02,2016-07-01
114,10114,CUS-010114,Katherine,Powell,Belgium,M,F,1962-03-26,2016-01-19
115,10115,CUS-010115,Jonathan,Perez,Mexico,S,M,1968-12-28,2013-10-19
116,10116,CUS-010116,Kenneth,Jenkins,Japan,,M,1996-11-13,2019-06-27
117,10117,CUS-010117,John,King,United Kingdom,S,M,1973-11-24,2017-07-16
118,10118,CUS-010118,Margaret,Alvarez,Japan,S,F,1951-10-18,2013-09-05
119,10119,CUS-010119,Gabriel,Cook,Italy,,M,1976-02-05,2010-07-05
120,10120,CUS-010120,Donald,Gonzalez,Japan,,M,1958-07-15,2014-02-28
121,10121,CUS-010121,Adam,Watson,France,S,M,1991-02-27,2015-06-28
122,10122,CUS-010122,Barbara,Sanders,Switzerland,M,F,1978-08-08,2019-08-05
123,10123,CUS-010123,Jean,Mendoza,Sweden,M,F,1975-05-07,2011-05-16
124,10124,CUS-010124,Albert,Ramirez,United States,M,M,2000-06-08,2011-05-31
125,10125,CUS-010125,Jason,Watson,,M,M,1971-03-26,2016-09-07
126,10126,CUS-010126,Dorothy,Howard,Mexico,M,F,1957-11-28,2010-04-16
127,10127,CUS-010127,Sara,Adams,United States,M,F,1966-01-05,2018-04-27
128,10128,CUS-010128,Ethan,Morris,Switzerland,,M,1987-02-15,2015-08-26
129,10129,CUS-010129,Brandon,Murphy,United States,M,M,1980-07-14,2017-09-11
130,10130,CUS-010130,Charles,Hernandez,Spain,,M,1959-02-05,2013-01-31
131,10131,CUS-010131,Maria,Brooks,UAE,S,F,1979-09-20,2014-10-29
132,10132,CUS-010132,Vincent,Ramirez,Austria,S,M,1964-07-11,2019-04-13
133,10133,CUS-010133,Samuel,Collins,Spain,,M,1966-06-05,2017-09-14
134,10134,CUS-010134,Matthew,Edwards,United Kingdom,,M,1997-06-26,2011-06-17
135,10135,CUS-010135,Austin,Nelson,United Kingdom,S,M,1972-11-25,2014-09-29
136,10136,CUS-010136,Janice,Flores,Sweden,M,F,1986-09-07,2011-09-26
137,10137,CUS-010137,Alexander,Kim,Switzerland,M,M,1998-05-19,2012-07-15
138,10138,CUS-010138,Bryan,Alvarez,United States,,M,1992-12-09,2010-04-29
139,10139,CUS-010139,Debra,Hall,United States,M,F,1959-10-22,2014-06-30
140,10140,CUS-010140,Matthew,Powell,UAE,M,M,1974-07-15,2013-10-28
141,10141,CUS-010141,Gloria,Brooks,Germany,M,F,1959-03-25,2016-12-05
142,10142,CUS-010142,Albert,Collins,South Korea,,M,1978-07-09,2012-06-01
143,10143,CUS-010143,Donald,Torres,South Korea,,M,1992-05-02,2012-06-22
144,10144,CUS-010144,Jason,Hill,Australia,M,M,1998-05-10,2013-09-05
145,10145,CUS-010145,George,Taylor,Norway,,M,1995-04-17,2016-04-07
146,10146,CUS-010146,Aaron,Jimenez,United States,S,M,1951-08-03,2019-09-02
147,10147,CUS-010147,Randy,Gray,Belgium,S,M,1957-07-01,2013-08-23
148,10148,CUS-010148,Wayne,Campbell,Germany,S,M,1956-04-14,2016-08-09
149,10149,CUS-010149,Tiffany,Baker,Japan,S,F,1999-03-03,2015-09-22
150,10150,CUS-010150,Rachel,Hall,France,M,F,1956-03-09,2012-03-19
151,10151,CUS-010151,George,Bennett,South Korea,S,M,1998-10-25,2016-07-01
152,10152,CUS-010152,Joe,Gray,Spain,,M,1970-03-15,2010-10-07
153,10153,CUS-010153,Sara,Davis,Sweden,,F,1954-05-15,2015-01-26
154,10154,CUS-010154,Karen,Mendoza,Germany,,F,1988-09-13,2015-03-11
155,10155,CUS-010155,Zachary,Ward,Australia,S,M,1988-08-17,2011-09-10
156,10156,CUS-010156,Virginia,Hernandez,Singapore,,F,1961-01-08,2017-12-08
157,10157,CUS-010157,Bryan,Lee,Switzerland,S,M,1968-07-14,2018-09-08
158,10158,CUS-010158,Sarah,Nelson,United Kingdom,,F,1993-07-10,2012-10-29
159,10159,CUS-010159,Joshua,Nelson,Germany,,M,1992-03-12,2013-06-24
160,10160,CUS-010160,Paul,Brooks,Germany,S,M,1985-07-21,2018-11-17
161,10161,CUS-010161,Matthew,Mendoza,Austria,,M,1973-01-12,2013-06-19
162,10162,CUS-010162,Ronald,Lewis,United Kingdom,M,M,1954-05-28,2018-11-03
163,10163,CUS-010163,William,Hughes,Netherlands,,M,1958-10-13,2011-09-24
164,10164,CUS-010164,Brian,Ross,Poland,M,M,1976-06-22,2018-01-26
165,10165,CUS-010165,Kayla,Powell,Poland,M,F,1984-04-10,2019-01-26
166,10166,CUS-010166,Catherine,Alvarez,Poland,S,F,1999-05-25,2014-04-14
167,10167,CUS-010167,Stephanie,Chavez,United Kingdom,S,F,1953-11-16,2019-10-21
168,10168,CUS-010168,Steven,Torres,Germany,M,M,1967-08-17,2011-08-27
169,10169,CUS-010169,Evelyn,Hall,United States,S,F,1953-07-17,2014-03-12
170,10170,CUS-010170,Laura,Brown,Spain,M,F,1995-11-11,2018-11-16
171,10171,CUS-010171,Elijah,Moore,New Zealand,S,M,1989-01-03,2010-03-19
172,10172,CUS-010172,Ralph,Chavez,UAE,S,M,1957-05-08,2013-05-18
173,10173,CUS-010173,Peter,Rodriguez,United Kingdom,S,M,1988-09-01,2017-02-01
174,10174,CUS-010174,Emma,Collins,United States,,F,1972-04-19,2014-09-03
175,10175,CUS-010175,Jack,Rodriguez,UAE,,M,1982-09-18,2010-03-25
176,10176,CUS-010176,Dennis,Allen,United States,S,M,2000-02-12,2012-09-14
177,10177,CUS-010177,Eugene,Jenkins,Netherlands,M,M,1952-06-18,2013-10-18
178,10178,CUS-010178,Elijah,Gutierrez,Canada,M,M,1954-12-25,2015-02-18
179,10179,CUS-010179,Elizabeth,Green,Italy,,F,1975-09-16,2012-11-03
180,10180,CUS-010180,Carolyn,Miller,Netherlands,S,F,1957-06-14,2019-12-23
181,10181,CUS-010181,Frank,White,South Korea,,M,1981-06-26,2015-10-28
182,10182,CUS-010182,Daniel,Edwards,Canada,,M,1968-06-04,2010-11-24
183,10183,CUS-010183,Jordan,Long,Austria,M,M,1994-08-12,2015-01-06
184,10184,CUS-010184,Marie,Edwards,Brazil,,F,2000-01-03,2017-07-12
185,10185,CUS-010185,Linda,Jackson,Poland,M,F,1958-02-08,2018-09-24
186,10186,CUS-010186,William,Chavez,France,,M,1978-06-12,2014-12-24
187,10187,CUS-010187,Jack,Turner,Spain,,M,1967-04-04,2010-04-17
188,10188,CUS-010188,Austin,Thomas,Mexico,S,M,1995-08-07,2016-11-11
189,10189,CUS-010189,Edward,Thomas,United Kingdom,M,M,1978-03-23,2014-12-29
190,10190,CUS-010190,Marilyn,Hall,Germany,,F,1984-05-10,2019-07-20
191,10191,CUS-010191,Janet,Peterson,Japan,M,F,1962-03-08,2018-11-12
192,10192,CUS-010192,Dennis,Cook,United Kingdom,,M,1955-02-10,2014-06-19
193,10193,CUS-010193,Henry,Evans,Germany,M,M,1970-11-03,2015-01-18
194,10194,CUS-010194,Alice,Gray,Canada,M,F,1977-09-28,2010-08-15
195,10195,CUS-010195,Carol,Lee,Spain,,F,1964-06-17,2013-03-09
196,10196,CUS-010196,Larry,Taylor,Italy,,M,1984-02-17,2017-03-10
197,10197,CUS-010197,Carol,Hughes,Netherlands,,F,1952-01-03,2010-07-06
198,10198,CUS-010198,Beverly,Clark,Belgium,,F,1990-01-16,2019-12-21
199,10199,CUS-010199,Frances,Young,Denmark,S,F,1979-02-23,2010-09-03
200,10200,CUS-010200,Jason,Baker,France,S,M,1995-06-24,2019-08-27
201,10201,CUS-010201,Andrea,Kim,United Kingdom,S,F,1965-08-04,2012-12-31
202,10202,CUS-010202,Scott,Roberts,Belgium,M,M,1960-06-19,2018-02-01
203,10203,CUS-010203,Keith,Cook,South Korea,S,M,1981-01-03,2014-05-30
204,10204,CUS-010204,Doris,Rivera,United States,M,F,1968-08-20,2019-11-24
205,10205,CUS-010205,Ann,Johnson,United Kingdom,S,F,1958-05-24,2014-02-07
206,10206,CUS-010206,Richard,Cox,Australia,S,M,1985-05-03,2014-05-02
207,10207,CUS-010207,Madison,Castillo,United Kingdom,M,F,1956-07-12,2018-11-30
208,10208,CUS-010208,Kayla,Jackson,Australia,,F,1982-07-17,2010-06-14
209,10209,CUS-010209,Olivia,Bailey,Portugal,M,F,1988-09-05,2013-09-05
210,10210,CUS-010210,Bryan,Jimenez,Italy,,M,1971-09-27,2015-09-19
211,10211,CUS-010211,Olivia,Williams,Switzerland,S,F,1993-02-14,2016-07-18
212,10212,CUS-010212,Jesse,Rogers,Mexico,,M,2000-10-19,2012-07-21
213,10213,CUS-010213,Jacqueline,Bennett,Norway,M,F,1993-04-02,2016-06-03
214,10214,CUS-010214,Douglas,Green,Belgium,M,M,1976-12-07,2014-08-08
215,10215,CUS-010215,Eugene,Foster,United States,,M,1958-09-07,2016-04-16
216,10216,CUS-010216,Jerry,Green,Canada,S,M,1984-06-18,2013-12-22
217,10217,CUS-010217,Marie,Gutierrez,Australia,M,F,1967-09-10,2012-07-10
218,10218,CUS-010218,Abigail,Clark,South Korea,S,F,1980-06-18,2018-12-02
219,10219,CUS-010219,Alan,Howard,Norway,S,M,1972-03-10,2010-06-22
220,10220,CUS-010220,Joan,Ruiz,Mexico,,F,1980-04-07,2019-04-15
221,10221,CUS-010221,Kimberly,Wilson,Japan,M,F,1953-11-17,2012-07-13
222,10222,CUS-010222,Gregory,Long,New Zealand,M,M,1993-03-01,2016-03-04
223,10223,CUS-010223,Walter,Ruiz,Australia,S,M,1970-05-21,2010-08-31
224,10224,CUS-010224,Jacob,Kelly,United States,M,M,1976-03-02,2019-05-19
225,10225,CUS-010225,Barbara,Johnson,Italy,,F,1988-02-11,2013-03-11
226,10226,CUS-010226,Jeremy,Moore,Singapore,S,M,1967-04-26,2011-04-07
227,10227,CUS-010227,Virginia,White,United States,,F,1971-05-19,2017-07-25
228,10228,CUS-010228,Nathan,Peterson,Spain,M,M,1975-11-04,2012-01-27
229,10229,CUS-010229,Mary,King,Norway,M,F,1978-05-11,2013-05-21
230,10230,CUS-010230,Beverly,Campbell,Japan,M,F,1992-02-15,2013-06-10
231,10231,CUS-010231,Brittany,Thomas,India,S,F,1989-04-08,2011-07-02
232,10232,CUS-010232,Dennis,Parker,New Zealand,,M,1992-04-25,2012-10-10
233,10233,CUS-010233,Terry,Morris,UAE,,M,1973-02-19,2011-04-05
234,10234,CUS-010234,Edward,Ward,France,M,M,1970-09-15,2011-04-22
235,10235,CUS-010235,Matthew,Peterson,Poland,M,M,1979-03-17,2014-08-29
236,10236,CUS-010236,Alan,Flores,United States,S,M,1966-01-24,2012-06-11
237,10237,CUS-010237,Diana,Rodriguez,United States,M,F,1980-01-10,2014-08-02
238,10238,CUS-010238,Dennis,Carter,Poland,S,M,1974-02-22,2017-06-03
239,10239,CUS-010239,Ashley,Thompson,,,F,1958-12-08,2019-05-13
240,10240,CUS-010240,Judith,Alvarez,Austria,,F,1974-04-08,2015-03-02
241,10241,CUS-010241,William,Hughes,Belgium,,M,1999-01-08,2012-04-24
242,10242,CUS-010242,Jesse,Alvarez,United States,M,M,1997-01-13,2014-12-03
243,10243,CUS-010243,Andrew,Cooper,India,M,M,1996-10-11,2016-06-23
244,10244,CUS-010244,Kathleen,Hill,France,,F,1983-04-14,2013-05-15
245,10245,CUS-010245,Eugene,Thompson,Austria,,M,1981-01-12,2017-03-20
246,10246,CUS-010246,Diana,Parker,Belgium,M,F,1969-07-06,2018-06-18
247,10247,CUS-010247,Nicole,Myers,France,S,F,1953-09-14,2014-09-03
248,10248,CUS-010248,Angela,Clark,Netherlands,,F,1955-08-28,2014-02-28
249,10249,CUS-010249,Susan,Wright,Norway,,F,1988-10-02,2019-10-19
250,10250,CUS-010250,Vincent,Price,Australia,S,M,1963-06-10,2010-03-04
251,10251,CUS-010251,Russell,Jenkins,New Zealand,M,M,1994-10-23,2012-04-17
252,10252,CUS-010252,Pamela,Carter,Portugal,,F,1991-06-10,2012-12-07
253,10253,CUS-010253,Anthony,Ross,New Zealand,S,M,1963-06-11,2014-08-23
254,10254,CUS-010254,Jennifer,King,Belgium,S,F,1959-04-11,2012-07-31
255,10255,CUS-010255,Sean,Ruiz,Netherlands,S,M,1998-08-24,2017-03-13
256,10256,CUS-010256,Carol,Moore,South Korea,M,F,1984-11-02,2015-11-17
257,10257,CUS-010257,Mason,Smith,Belgium,M,M,1990-04-03,2017-12-06
258,10258,CUS-010258,Dennis,Davis,New Zealand,,M,1981-01-01,2015-12-20
259,10259,CUS-010259,Vincent,Scott,India,M,M,1982-12-22,2014-10-30
260,10260,CUS-010260,Anthony,Reed,France,M,M,1962-10-17,2012-10-30
261,10261,CUS-010261,Daniel,Mitchell,Denmark,S,M,1986-04-23,2012-07-14
262,10262,CUS-010262,Logan,Ruiz,United States,M,M,1975-07-13,2016-03-13
263,10263,CUS-010263,Lisa,Morgan,Austria,,F,2000-06-19,2019-08-16
264,10264,CUS-010264,Jacob,Ramirez,New Zealand,S,M,1952-02-22,2013-02-22
265,10265,CUS-010265,George,Green,United States,M,M,1987-03-25,2019-03-16
266,10266,CUS-010266,Brandon,Lee,Japan,,M,1974-11-18,2013-09-20
267,10267,CUS-010267,Christian,Powell,Sweden,M,M,1956-07-08,2019-05-29
268,10268,CUS-010268,Jesse,Turner,Spain,M,M,1990-05-26,2015-01-20
269,10269,CUS-010269,Harry,White,Norway,M,M,1999-10-10,2018-12-13
270,10270,CUS-010270,Donna,Carter,France,,F,1974-06-12,2011-03-13
271,10271,CUS-010271,Jack,Wright,United Kingdom,M,M,1955-03-14,2015-01-13
272,10272,CUS-010272,Michael,Lopez,Sweden,,M,1955-10-20,2018-10-19
273,10273,CUS-010273,Joyce,Roberts,Germany,,F,1985-04-19,2015-11-05
274,10274,CUS-010274,Anna,Hill,Brazil,S,F,1959-02-06,2014-11-16
275,10275,CUS-010275,Jack,Allen,Japan,,M,1990-08-20,2016-11-30
276,10276,CUS-010276,Mary,Turner,Netherlands,,F,1974-06-15,2013-10-03
277,10277,CUS-010277,Andrew,Hill,Spain,,M,1994-04-16,2013-07-10
278,10278,CUS-010278,Emma,Jimenez,South Korea,,F,2000-04-11,2014-03-21
279,10279,CUS-010279,Sandra,Cox,Australia,,F,1984-03-22,2018-08-11
280,10280,CUS-010280,Randy,Clark,Poland,S,M,1994-02-27,2019-07-05
281,10281,CUS-010281,Andrew,Gray,Italy,M,M,1966-11-05,2018-01-08
282,10282,CUS-010282,Jesse,Gutierrez,Denmark,,M,1982-12-14,2016-02-05
283,10283,CUS-010283,Jesse,Gray,Germany,M,M,1999-04-22,2017-06-15
284,10284,CUS-010284,Carl,Mendoza,Denmark,S,M,2000-07-04,2010-02-13
285,10285,CUS-010285,Austin,Richardson,Japan,S,M,1973-07-15,2018-08-30
286,10286,CUS-010286,Rachel,Brown,New Zealand,M,F,1968-07-03,2011-04-21
287,10287,CUS-010287,Helen,Baker,Portugal,M,F,1983-08-12,2015-05-05
288,10288,CUS-010288,Samuel,Rodriguez,Italy,M,M,1995-02-01,2019-07-11
289,10289,CUS-010289,Alexis,Young,UAE,M,F,1985-03-11,2016-04-12
290,10290,CUS-010290,Bruce,White,Canada,,M,1992-07-13,2010-04-30
291,10291,CUS-010291,Dylan,Collins,Norway,M,M,1995-04-07,2013-02-14
292,10292,CUS-010292,Arthur,Wilson,Canada,S,M,1970-04-15,2011-04-12
293,10293,CUS-010293,Gabriel,Green,Norway,,M,1975-10-04,2013-11-26
294,10294,CUS-010294,Amber,Myers,Italy,,F,1987-02-22,2011-07-03
295,10295,CUS-010295,Timothy,Mitchell,France,,M,1974-07-20,2011-07-19
296,10296,CUS-010296,Gabriel,Kelly,Canada,,M,1960-08-10,2011-07-29
297,10297,CUS-010297,Richard,Rivera,United States,S,M,1958-04-27,2014-04-22
298,10298,CUS-010298,Henry,Castillo,South Korea,S,M,1995-08-16,2011-11-17
299,10299,CUS-010299,Emma,Jones,Brazil,M,F,1984-05-06,2018-10-03
300,10300,CUS-010300,Sean,Peterson,United Kingdom,,M,1957-05-25,2016-02-03
301,10301,CUS-010301,Mason,Ross,Poland,,M,1963-07-04,2018-04-03
302,10302,CUS-010302,Barbara,Morris,Mexico,S,F,1955-08-28,2011-04-26
303,10303,CUS-010303,Wayne,Hall,Austria,M,M,1989-03-26,2012-04-26
304,10304,CUS-010304,Alexander,Kelly,Brazil,,M,1984-03-11,2017-11-23
305,10305,CUS-010305,Alan,Gonzalez,United Kingdom,S,M,1953-05-28,2017-05-10
306,10306,CUS-010306,Emily,Long,Spain,M,F,1998-11-13,2015-06-28
307,10307,CUS-010307,Jerry,Morris,Germany,,M,2000-02-13,2015-10-13
308,10308,CUS-010308,Lauren,Ortiz,Spain,,F,1950-12-03,2018-03-13
309,10309,CUS-010309,Sarah,Kelly,Denmark,M,F,1977-04-16,2013-01-04
310,10310,CUS-010310,Arthur,Taylor,South Korea,S,M,1993-01-02,2011-02-12
311,10311,CUS-010311,Steven,Lee,Poland,S,M,1950-07-07,2017-09-21
312,10312,CUS-010312,Michelle,Scott,Germany,,F,1973-05-03,2014-03-04
313,10313,CUS-010313,Aaron,Bennett,Italy,,M,1994-04-14,2017-05-08
314,10314,CUS-010314,Frances,Martinez,,,F,1964-09-22,2014-12-28
315,10315,CUS-010315,Nathan,Sanders,United Kingdom,S,M,1954-04-13,2011-01-01
316,10316,CUS-010316,Catherine,Hill,United Kingdom,S,F,1999-03-21,2017-08-05
317,10317,CUS-010317,Bryan,Ruiz,Canada,S,M,1972-12-07,2017-01-16
318,10318,CUS-010318,Juan,Stewart,Australia,M,M,1956-03-25,2011-05-20
319,10319,CUS-010319,Samuel,Moore,Japan,S,M,1991-02-08,2016-03-16
320,10320,CUS-010320,Brittany,Brown,Italy,M,F,1983-10-17,2012-02-12
321,10321,CUS-010321,Gary,Morgan,Norway,M,M,1965-08-21,2016-08-29
322,10322,CUS-010322,Jack,Green,United Kingdom,S,M,1986-07-12,2016-02-16
